português,Ingles
o,O
de,in
em,in
e,and
que,what
ser,to be
um,a
por,per
para,for
a,The
não,no
com,with
ter,to have
se,if
o,O
seu,your
como,as
estar,be
mais,most
mas,but
fazer,to do
poder,power
este,This one
ou,or
ele,he
esse,that
outro,other
muito,much
haver,be
ir,go
todo,all
eu,I
já,already
dizer,to say
ano,year
dar,to give
também,also
quando,When
mesmo,same
ver,to see
até,up until
dois,two
ainda,still
isso,that
grande,great
vez,turn
algum,any
ela,Is it over there
depois,later
entre,in between
dia,day
só,only
aquele,that one
sobre,about
primeiro,first
ficar,stay
dever,to owe
passar,pass
saber,know
assim,so
querer,want
onde,Where
novo,new
sem,without
vir,come over
tempo,time
bem,well
porque,why
meu,mine
pessoa,person
coisa,thing
então,then
quem,who
sempre,ever
qual,which
chegar,to arrive
vida,life
pouco,little
homem,men
parte,part
tudo,all
casa,House
agora,now
lhe,him
trabalho,job
nosso,our
levar,to take
pois,then
deixar,leave
bom,Good
começar,to start
próprio,own
maior,larger
caso,case
falar,speak
país,country
forma,form
cada,each
hoje,today
nem,nor
três,three
se,if
encontrar,meet
meio,quite
aqui,here
mundo,world
apenas,only
estado,state
segundo,second
qualquer,any
cidade,City
menos,any less
governo,government
partir,leave
conseguir,get
tanto,so much
lado,side
chamar,Call
melhor,best
pensar,think
nome,Name
isto,this
certo,right
mulher,women
deixar,leave
exemplo,example
existir,exist
antes,before
tal,such
você,you
lá,there
durante,during
terra,Earth
último,last
desde,since
contra,against
aí,there
parecer,seem
pequeno,small
quanto,how much
nada,anything
português,Portuguese
filho,son
tornar,become
água,Water
direito,right
público,public
entrar,log in
problema,problem
viver,to live
além,in addition
pôr,per
história,story
grupo,group
hora,hour
sair,go out
acabar,to finish
continuar,Continue
tão,so
nunca,Never
dentro,inside
voltar,come back
tomar,to take
obra,constructions
facto,fact that
ponto,Score
trabalhar,to work
fim,The end
quase,almost
pai,dad
apresentar,to introduce
relação,relationship
criar,create
considerar,consider
momento,time
receber,to receive
ideia,idea
política,policy
vários,several
lugar,place
sentir,to feel
livro,book
nós,we
mês,month
alto,high
força,force
acontecer,happen
família,family
tipo,type
presidente,chairman
mil,thousand
tratar,deal with
enquanto,While
perder,lose
achar,find
escrever,write
quatro,four
usar,to use
único,single
nenhum,none
